Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5272827917051108,1.1102230246251565e-16,0.3304289908778788,5.551115123125783e-17,1.2502353590159552,0.0,1.0,0.0
3,0.34980215863789715,0.0,0.19938777964247945,2.7755575615628914e-17,1.657600314921138,4.440892098500626e-16,1.0,0.0
4,0.32456871524020536,5.551115123125783e-17,0.1834931920906825,0.0,1.5528245218702457,8.437694987151189e-16,1.0,0.0
5,0.22836111343491564,0.014990775982720033,0.1420770780496571,0.0011369432679827734,1.8091904144342588,0.012174830301107144,0.89748063358864,0.09410154638235907
6,0.22948640638901047,0.003611261687043031,0.13406844764823267,0.001971177663314798,1.8364560179059222,0.013429833907913833,0.9632008465768638,0.027445854309304542
7,0.2484141540693414,0.00335100357690215,0.14375564594500934,0.0028408854309780415,1.725213387609482,0.030175172592849162,0.9597702308863407,0.035699185022971064
8,0.24123131978493034,0.0033022640811907924,0.1450741449516553,0.0015580846599964964,1.5804898912911491,0.010813005080337347,0.9597638543023328,0.030123552475050993
9,0.22986326741959284,0.0035437206973457265,0.1355458954191573,0.0029476202394425003,1.6408967485596093,0.01232153116749006,0.9193290055974678,0.04202825920124889
10,0.23175056563807186,0.0036707602435192663,0.13769211476154056,0.0021786278465751314,1.580733093395242,0.013306296517213797,0.9123348975527886,0.05517199179115537
11,0.20895207703857893,0.01001281228096837,0.12679504903175687,0.006206983873058556,1.5961463672338936,0.038049142443681794,0.7154329453600886,0.10019377193280818
12,0.1923374195942075,0.01540479648080442,0.11844174948724966,0.008738036357401047,1.626715641450277,0.05100900164336478,0.6957405704550013,0.08698614760198782
13,0.1808894378491218,0.014803687197515734,0.10995189833511348,0.006375521586890006,1.6222419042650698,0.04940790421076023,0.7362396439133888,0.07579646797270274
14,0.17355582456525942,0.015593457726686478,0.10747225060280804,0.007847130687900827,1.5901848744071052,0.05705408921223258,0.6981045596812006,0.08213778902453267
