Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.3449422453976752,0.0,1.1520500612806912,2.220446049250313e-16,1.0,0.0,0.7271604938271605
3,0.19452864551019175,5.551115123125783e-17,1.6197476773542305,4.440892098500626e-16,1.0,0.0,0.3731481481481482
4,0.18215413967263167,0.00018772431684427782,1.548336081617106,0.0008305240031153502,0.9991869198611208,0.0056915609721533336,0.2620462962962963
5,0.15504193065111993,2.7755575615628914e-17,1.7428439073683126,4.440892098500626e-16,1.0,0.0,0.19598765432098766
6,0.15083403710198404,0.0008163876486994633,1.6489508646889457,0.0056446272664457545,0.9893487431378214,0.012026095297435898,0.1684074074074074
7,0.13421859861387336,0.001296072164831647,1.6656394787691438,0.022817278581965514,0.9510944607293781,0.05392069527931924,0.14443209876543212
8,0.12795918460014258,0.0004332397179394173,1.7358699091060503,0.007442491816926056,0.9821939524484781,0.020543971618274762,0.11879012345679012
9,0.1213510887896952,0.0030808089273737203,1.6997750803624556,0.03442247584815943,0.939012638699796,0.03955394550140843,0.1086820987654321
10,0.10779559958408118,0.0032832963371375685,1.716869823444481,0.024738150962985955,0.9228052758756607,0.03929260790255234,0.09607716049382717
11,0.1123359518609608,0.005448719463405126,1.7000178839032904,0.034545264261006,0.8482131916356667,0.06434904952917612,0.08862345679012346
12,0.10890490357116196,0.006521423886172174,1.6640966327267983,0.03836500986433138,0.7960290464692743,0.08919819831549258,0.07894444444444444
13,0.11662066024618335,0.005875657187298847,1.6155549053653786,0.028481367115804967,0.7908086247943447,0.07081842641611709,0.07365740740740741
14,0.10981209558459457,0.006169050865642849,1.6156049636361385,0.034396584175956986,0.7769033899979019,0.07751611612215766,0.06673765432098766
