Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.45576290413992004,0.0,1.4890587948116232,0.0,1.0,0.0,0.55
3,0.33077671866592473,1.1102230246251565e-16,1.6160263088030329,4.440892098500626e-16,1.0,0.0,0.3549382716049383
4,0.32631976515396927,5.551115123125783e-17,1.5155925354839093,2.220446049250313e-16,1.0,0.0,0.24598765432098765
5,0.2802392517379569,0.004322031426923851,1.6516912433773303,0.018261946631157804,0.9377982764214422,0.052007334388262175,0.20124074074074075
6,0.27743818480010063,0.004065858345879353,1.5642829549402817,0.006646003812136607,0.9525524739048519,0.04465115956984913,0.17490740740740743
7,0.25707750184617034,0.011112214188784693,1.7478206960807312,0.09704970379342591,0.8170226519654238,0.1177000484180878,0.14226234567901233
8,0.2508446831055323,0.009386614100721615,1.684555196845401,0.03484478937296069,0.7995362896700737,0.09258126894552493,0.12862037037037038
9,0.21704974414963427,0.01250292581720544,1.6888245534500674,0.059785454190214304,0.6853367609538829,0.10306787547884441,0.11224691358024691
10,0.2221348292874833,0.010319554820082188,1.6261832121996815,0.04563830046465616,0.6754740318484286,0.10113668938507919,0.10344444444444444
11,0.209344107438732,0.0161958129344715,1.6462124631141637,0.05162458188208934,0.6477324893465833,0.10004402254814003,0.09425925925925925
12,0.21085401156323683,0.015689989233073205,1.5828397124886329,0.069150740991022,0.6461664059135545,0.08699998557395937,0.08728703703703704
13,0.20053687989684285,0.01948696870030453,1.4972301018643606,0.07015166283034119,0.6520138733102891,0.08434352890940919,0.08492283950617283
14,0.18096778078009226,0.022940625805662467,1.534802046513949,0.08899046581902752,0.5958910009911026,0.07472160993637818,0.08024691358024691
